kpoint_fail_frac,max_band_deviation,charge_spilling_pct,compound_id,delta_per_atom_eV,robust_z
0.33527696793002915,9.55811,0.67,extension_AgI_mp-22915,-2.317092500000001,0.576540016110193
0.14285714285714285,4.17826,0.68,extension_AgN_anchor_mp-1091417,-5.125666250000007,1.8835655353434637
0.0823045267489712,0.973859,0.59,extension_AgN_poly_mp-1009766,-4.033807499999998,1.3754474025551942
0.053061224489795916,2.36072,0.76,extension_AgN_poly_mp-1424734,-5.628859999999996,2.117736730729973
0.096,9.68805,0.63,extension_AgN_poly_mp-1428312,-2.894022500000004,0.8450258384288176
0.041666666666666664,6.32027,1.31,extension_AgPb3_mp-1183256,-4.9376675000000025,1.7960765869638953
0.35,11.5046,1.04,extension_AgPd_mp-1183222,-1.4596949999999964,0.17753307793496714
0.2021036814425244,9.55936,1.27,extension_Ag_mp-124,,
0.453125,9.71615,1.75,extension_Al12Mo_mp-550,-9.131933076923074,3.7479612912484455
0.1388888888888889,9.47703,1.97,extension_Al2W_mp-12524,-12.059687777777777,5.110450030620968
0.43440233236151604,31.656,1.34,extension_Al3Ag_mp-1183130,-8.072924999999993,3.2551308709639093
0.1924198250728863,9.3717,3.46,extension_Al3As_mp-1183129,-6.540771250000001,2.5421127240703347
0.25,6.39534,5.57,extension_AlAg2_mp-985805,-8.139641666666662,3.2861787955169026
0.235,9.86368,1.15,extension_AlAg_mp-1228901,-4.552759999999994,1.6169522449222131
0.024,2.91678,0.83,extension_AlH3_mp-1106356,-2.2802843750000203,0.5594106248346024
,,2.77,extension_Al_mp-134,,
0.010416666666666666,1.32822,2.45,extension_As3W2_mp-11696,-3.7140429999999953,1.2266386480601876
,,1.97,extension_As4S3_mp-27543,-0.1669141964285714,0.4240881189599848
,,1.96,extension_As4S3_mp-557321,-0.1538199107142881,0.4301818046197257
,,1.93,extension_As_mp-158,,
0.016,2.81539,0.89,extension_Au2S_mp-947,-9.954346041666668,4.130687481816938
0.19984973703981967,9.8376,1.55,extension_Au_mp-81,,
